source_ip,(empty),21,22,53,6667,80,OTHER,source_ip_classification,in_ids
(empty),3204.0,0.0,0.0,0.0,0.0,0.0,0.0,None,False
10.32.0.100,0.0,0.0,0.0,0.0,0.0,0.0,1887.0,Firewall,False
10.32.0.201,0.0,0.0,0.0,0.0,0.0,0.0,702.0,Website,False
10.32.0.202,0.0,0.0,0.0,0.0,0.0,0.0,722.0,Website,False
10.32.0.204,0.0,0.0,0.0,0.0,0.0,0.0,704.0,Website,False
10.32.0.205,0.0,0.0,0.0,0.0,0.0,0.0,667.0,Website,False
10.32.0.206,0.0,0.0,0.0,0.0,0.0,0.0,759.0,Website,False
10.32.0.209,0.0,0.0,0.0,0.0,0.0,0.0,702.0,Website,False
10.32.1.201,0.0,0.0,0.0,0.0,0.0,0.0,675.0,Website,False
10.32.1.202,0.0,0.0,0.0,0.0,0.0,0.0,735.0,Website,False
10.32.1.203,0.0,0.0,0.0,0.0,0.0,0.0,725.0,Website,False
10.32.1.204,0.0,0.0,0.0,0.0,0.0,0.0,727.0,Website,False
10.32.1.206,0.0,0.0,0.0,0.0,0.0,0.0,667.0,Website,False
10.32.5.51,0.0,0.0,0.0,0.0,0.0,0.0,4741.0,Website,True
10.32.5.52,0.0,0.0,0.0,0.0,0.0,0.0,4675.0,Website,True
10.32.5.53,0.0,0.0,0.0,0.0,0.0,0.0,1517.0,Website,True
10.32.5.54,0.0,0.0,0.0,0.0,0.0,0.0,4545.0,Website,True
10.32.5.55,0.0,0.0,0.0,0.0,0.0,0.0,1570.0,Website,True
10.32.5.56,0.0,0.0,0.0,0.0,0.0,0.0,4607.0,Website,True
10.32.5.57,0.0,0.0,0.0,0.0,0.0,0.0,4676.0,Website,True
10.32.5.58,0.0,0.0,0.0,0.0,1.0,0.0,3024.0,Website,True
10.32.5.59,0.0,0.0,0.0,0.0,0.0,0.0,3063.0,Website,True
172.23.0.1,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Firewall,True
172.23.0.10,0.0,0.0,0.0,752.0,0.0,0.0,1378.0,Domain controller/DNS,True
172.23.0.108,0.0,0.0,0.0,0.0,3509.0,406.0,0.0,Workstation,True
172.23.0.109,0.0,0.0,0.0,0.0,2295.0,3824.0,0.0,Workstation,True
172.23.0.110,0.0,0.0,0.0,0.0,2222.0,3823.0,0.0,Workstation,True
172.23.0.131,0.0,0.0,0.0,0.0,0.0,13160.0,0.0,Workstation,False
172.23.0.132,0.0,0.0,0.0,0.0,0.0,118398.0,0.0,Workstation,False
172.23.0.26,0.0,0.0,0.0,0.0,0.0,13155.0,0.0,Workstation,False
172.23.1.168,0.0,57.0,0.0,0.0,629.0,0.0,0.0,Workstation,True
172.23.10.110,0.0,0.0,0.0,0.0,0.0,7026.0,0.0,Workstation,False
172.23.10.111,0.0,0.0,0.0,0.0,0.0,7045.0,0.0,Workstation,False
172.23.10.112,0.0,0.0,0.0,0.0,0.0,7057.0,0.0,Workstation,False
172.23.10.113,0.0,0.0,0.0,0.0,0.0,7022.0,0.0,Workstation,False
172.23.10.114,0.0,0.0,0.0,0.0,0.0,6981.0,0.0,Workstation,False
172.23.10.115,0.0,0.0,0.0,0.0,0.0,6952.0,0.0,Workstation,False
172.23.10.116,0.0,0.0,0.0,0.0,0.0,7023.0,0.0,Workstation,False
172.23.10.117,0.0,0.0,0.0,0.0,0.0,6973.0,0.0,Workstation,False
172.23.10.118,0.0,0.0,0.0,0.0,0.0,7023.0,0.0,Workstation,False
